# variant: ref=mid_v9 10ns rigid suite; rfirst=mid_v9_rfirst (middle, RATTLE first). Stats 400-2000 ps.
variant,combo,dt_fs,T_K,Terr,P_bar,Perr,D_kgm3
ref,LV-CR,0.5,299.95,0.04,-20.3,13.0,983.2
ref,LV-MT,0.5,300.01,0.03,-12.7,4.1,983.8
ref,NH-CR,0.5,299.96,0.03,9.4,11.0,985.2
ref,NH-MT,0.5,299.96,0.03,1.9,0.8,984.5
ref,LV-CR,1.0,300.08,0.06,1.2,15.0,984.4
ref,LV-MT,1.0,300.04,0.03,4.0,2.8,984.6
ref,NH-CR,1.0,299.99,0.05,8.2,9.7,984.9
ref,NH-MT,1.0,299.96,0.04,0.4,1.5,984.3
ref,LV-CR,2.0,299.93,0.11,-8.2,9.5,984.3
ref,LV-MT,2.0,299.99,0.10,-0.3,2.6,984.7
ref,NH-CR,2.0,299.96,0.04,-15.6,21.0,983.8
ref,NH-MT,2.0,299.95,0.04,1.1,3.5,984.9
ref,LV-CR,4.0,300.05,0.12,-18.3,8.4,984.4
ref,LV-MT,4.0,300.06,0.15,-0.3,8.6,985.3
ref,NH-CR,4.0,299.93,0.05,13.5,11.0,986.9
ref,NH-MT,4.0,300.04,0.08,-3.2,6.3,985.7
ref,LV-CR,6.0,300.04,0.18,-35.6,20.0,985.6
ref,LV-MT,6.0,300.23,0.12,-2.3,4.7,986.8
ref,NH-CR,6.0,300.10,0.08,-3.6,11.0,987.1
ref,NH-MT,6.0,299.82,0.07,-12.8,7.9,987.2
rfirst,LV-CR,0.5,301.55,0.10,-9.2,28.0,978.7
rfirst,LV-MT,0.5,301.62,0.10,10.0,21.0,978.8
rfirst,NH-CR,0.5,299.89,0.07,49.6,17.0,987.7
rfirst,NH-MT,0.5,300.04,0.09,7.1,0.6,985.2
rfirst,LV-CR,1.0,306.02,0.07,-3.8,42.0,977.0
rfirst,LV-MT,1.0,306.47,0.17,11.6,8.9,978.1
rfirst,NH-CR,1.0,300.06,0.10,54.6,10.0,989.5
rfirst,NH-MT,1.0,300.02,0.08,20.1,2.4,989.0
rfirst,LV-CR,2.0,325.49,0.29,217.7,17.0,979.9
rfirst,LV-MT,2.0,324.93,0.10,99.6,13.0,973.0
rfirst,NH-CR,2.0,300.00,0.04,251.2,25.0,1006.1
rfirst,NH-MT,2.0,299.89,0.12,115.6,7.4,999.5
rfirst,LV-CR,4.0,399.38,0.29,876.9,39.0,978.5
rfirst,LV-MT,4.0,398.75,0.16,392.6,15.0,951.8
rfirst,NH-CR,4.0,299.98,0.04,1277.0,45.0,1035.2
rfirst,NH-MT,4.0,299.84,0.17,629.4,12.0,999.5
rfirst,LV-CR,6.0,520.65,0.36,1870.4,43.0,974.5
rfirst,LV-MT,6.0,514.86,0.47,853.7,13.0,912.9
rfirst,NH-CR,6.0,367.45,0.13,3441.5,26.0,1037.9
rfirst,NH-MT,6.0,358.66,0.00,1643.1,0.0,996.6
