variant,sampling,system,dt_fs,combo,T_K,Terr,P_bar,Perr,D_kgm3,Derr,H_kJmol,Herr
after RATTLE,after RATTLE,rigid,0.5,LV+MT,300.082,0.1,-10.1818,17.0,983.22,1.1,-32.5237,0.01
after SHAKE,after SHAKE,rigid,0.5,LV+MT,300.465,0.11,2.67161,18.0,984.051,0.93,-32.5227,0.014
after RATTLE,after RATTLE,rigid,0.5,LV+CR,300.157,0.096,-16.5449,17.0,983.898,1.3,-32.5258,0.013
after SHAKE,after SHAKE,rigid,0.5,LV+CR,300.49,0.095,-30.356,45.0,982.335,2.7,-32.5039,0.027
after RATTLE,after RATTLE,rigid,1.0,LV+MT,300.015,0.066,-14.6887,13.0,983.643,0.42,-32.5248,0.0092
after SHAKE,after SHAKE,rigid,1.0,LV+MT,300.509,0.17,25.9198,9.6,984.946,0.69,-32.5276,0.014
after RATTLE,after RATTLE,rigid,1.0,LV+CR,299.872,0.21,-31.5175,49.0,983.011,3.0,-32.5285,0.035
after SHAKE,after SHAKE,rigid,1.0,LV+CR,300.596,0.047,-42.6373,31.0,981.457,1.6,-32.4961,0.011
after RATTLE,after RATTLE,rigid,2.0,LV+MT,300.197,0.18,16.1787,7.2,984.734,0.82,-32.512,0.023
after SHAKE,after SHAKE,rigid,2.0,LV+MT,300.653,0.093,2.83376,4.1,983.794,0.72,-32.5228,0.011
after RATTLE,after RATTLE,rigid,2.0,LV+CR,299.546,0.068,3.52882,40.0,984.187,1.6,-32.5606,0.017
after SHAKE,after SHAKE,rigid,2.0,LV+CR,300.653,0.11,8.37174,16.0,985.526,0.41,-32.5333,0.014
after RATTLE,after RATTLE,rigid,4.0,LV+MT,300.237,0.17,-10.0286,15.0,984.442,0.2,-32.5203,0.011
after SHAKE,after SHAKE,rigid,4.0,LV+MT,301.388,0.12,13.4399,15.0,984.419,0.68,-32.4719,0.0063
after RATTLE,after RATTLE,rigid,4.0,LV+CR,299.637,0.2,-12.109,14.0,983.999,1.1,-32.534,0.024
after SHAKE,after SHAKE,rigid,4.0,LV+CR,301.507,0.22,5.17939,23.0,985.811,1.8,-32.5078,0.02
after RATTLE,after RATTLE,rigid,6.0,LV+MT,300.295,0.36,-11.0898,11.0,987.284,0.63,-32.5517,0.024
after SHAKE,after SHAKE,rigid,6.0,LV+MT,302.169,0.31,13.0666,10.0,985.657,0.55,-32.5206,0.021
after RATTLE,after RATTLE,rigid,6.0,LV+CR,300.565,0.2,11.6989,20.0,986.65,1.3,-32.5191,0.017
after SHAKE,after SHAKE,rigid,6.0,LV+CR,302.186,0.44,65.1935,49.0,988.62,2.3,-32.5059,0.023
after RATTLE,after RATTLE,flex,0.5,LV+MT,299.991,0.074,5.21361,15.0,1009.88,1.5,-27.9558,0.017
after SHAKE,after SHAKE,flex,0.5,LV+MT,300.078,0.023,-11.8589,8.5,1009.51,0.83,-27.9492,0.0087
after RATTLE,after RATTLE,flex,0.5,LV+CR,299.767,0.079,-15.7704,24.0,1010.53,1.9,-27.9786,0.024
after SHAKE,after SHAKE,flex,0.5,LV+CR,299.939,0.086,-0.162512,24.0,1009.41,1.2,-27.9558,0.01
after RATTLE,after RATTLE,flex,1.0,LV+MT,299.973,0.11,-9.1045,13.0,1008.84,0.85,-27.9533,0.0073
after SHAKE,after SHAKE,flex,1.0,LV+MT,300.046,0.14,11.1871,14.0,1010.42,0.84,-27.9425,0.012
after RATTLE,after RATTLE,flex,1.0,LV+CR,299.998,0.077,23.9187,47.0,1010.73,2.3,-27.9715,0.014
after SHAKE,after SHAKE,flex,1.0,LV+CR,299.962,0.13,6.15134,34.0,1008.75,1.2,-27.946,0.02
after RATTLE,after RATTLE,flex,2.0,LV+MT,300.86,0.048,-22.277,16.0,1009.26,0.37,-27.9096,0.0034
after SHAKE,after SHAKE,flex,2.0,LV+MT,300.522,0.22,-14.2562,23.0,1009.84,0.96,-27.9381,0.035
after RATTLE,after RATTLE,flex,2.0,LV+CR,300.774,0.19,-19.1394,33.0,1010.46,1.8,-27.9409,0.021
after SHAKE,after SHAKE,flex,2.0,LV+CR,300.956,0.076,55.2691,23.0,1011.32,1.2,-27.9294,0.0068
