run	T	Terr	P	Perr	D	Derr	H	Herr	Pot	Poterr
npt_tip3p_flex_dt0p5_NH_CR_tau0p5_T300_2000ps	300.072	0.044	21.2648	31	1010.27	1.5	-27.811	0.023	-39.0227	0.022
npt_tip3p_flex_dt0p5_NH_MT_tau0p5_T300_2000ps	299.998	0.025	286.077	3.3	1024.53	0.48	-27.9514	0.032	-39.1603	0.032
npt_tip3p_flex_dt0p5_VR_CR_tau0p5_T300_2000ps	299.981	0.15	-0.400869	16	1010.59	0.94	-27.82	0.036	-39.0282	0.033
npt_tip3p_flex_dt1p0_NH_CR_tau0p5_T300_2000ps	299.953	0.035	13.4458	6.1	1014.26	1.2	-27.4585	0.03	-38.6657	0.03
npt_tip3p_flex_dt1p0_NH_MT_tau0p5_T300_2000ps	300.046	0.1	288.801	12	1025.6	0.66	-27.5024	0.024	-38.7131	0.024
npt_tip3p_flex_dt1p0_VR_CR_tau0p5_T300_2000ps	299.927	0.33	20.0329	18	1012.37	0.91	-27.4037	0.045	-38.61	0.037
npt_tip3p_flex_dt1p5_NH_CR_tau0p5_T300_2000ps	299.91	0.059	-29.8325	28	1016.9	0.68	-26.6146	0.0097	-37.8202	0.011
npt_tip3p_flex_dt1p5_NH_MT_tau0p5_T300_2000ps	300.019	0.017	280.663	10	1026.93	0.64	-26.6494	0.013	-37.8591	0.014
npt_tip3p_flex_dt1p5_VR_CR_tau0p5_T300_2000ps	299.933	0.26	5.38167	18	1018.53	1.2	-26.6535	0.039	-37.86	0.029
npt_tip3p_flex_dt2p0_NH_CR_tau0p5_T300_2000ps	299.907	0.066	40.5268	19	1030.86	1.2	-25.2459	0.013	-36.4514	0.013
npt_tip3p_flex_dt2p0_NH_MT_tau0p5_T300_2000ps	299.856	0.039	285.236	4.9	1035.73	0.77	-25.2694	0.013	-36.473	0.013
npt_tip3p_flex_dt2p0_VR_CR_tau0p5_T300_2000ps	299.829	0.15	1.54797	48	1028.89	0.8	-25.2394	0.016	-36.442	0.012
npt_tip3p_rigid_shake_dt0p5_NH_CR_tau1p0_T300_2000ps	300.05	0.05	-31.558	27	983.582	1	-32.5195	0.01	-39.9883	0.011
npt_tip3p_rigid_shake_dt0p5_VR_CR_tau1p0_T300_2000ps	300.264	0.3	-13.7177	12	983.01	0.57	-32.5028	0.02	-39.9769	0.013
npt_tip3p_rigid_shake_dt1p0_NH_CR_tau1p0_T300_2000ps	299.976	0.045	15.7616	38	985.924	2.2	-32.5294	0.016	-39.9963	0.016
npt_tip3p_rigid_shake_dt1p0_VR_CR_tau1p0_T300_2000ps	299.934	0.24	-14.548	30	983.917	0.98	-32.5095	0.016	-39.9754	0.011
npt_tip3p_rigid_shake_dt2p0_NH_CR_tau1p0_T300_2000ps	300.153	0.054	14.6602	9	985.206	0.51	-32.4548	0.0069	-39.9262	0.0078
npt_tip3p_rigid_shake_dt2p0_VR_CR_tau1p0_T300_2000ps	299.846	0.15	-26.586	9.8	983.143	0.49	-32.4584	0.016	-39.9221	0.013
npt_tip3p_rigid_shake_dt4p0_NH_CR_tau1p0_T300_2000ps	299.928	0.072	-28.7751	23	981.98	1.5	-32.2019	0.013	-39.6676	0.012
npt_tip3p_rigid_shake_dt4p0_VR_CR_tau1p0_T300_2000ps	299.277	0.23	11.2836	9.1	984.631	0.36	-32.2736	0.024	-39.7231	0.019
npt_tip3p_rigid_shake_dt6p0_NH_CR_tau1p0_T300_2000ps	300.03	0.08	-0.745152	10	981.682	0.68	-31.7803	0.0059	-39.2486	0.0066
npt_tip3p_rigid_shake_dt6p0_VR_CR_tau1p0_T300_2000ps	299.431	0.26	15.591	12	983.401	0.78	-31.8332	0.019	-39.2866	0.014
nvt_tip3p_flex_dt0p5_NH_tau0p5_T300_2000ps	300.017	0.024	-90.6274	12	-	-	-	-	-38.9723	0.024
nvt_tip3p_flex_dt0p5_VR_tau0p5_T300_2000ps	299.93	0.12	-91.09	10	-	-	-	-	-38.9901	0.022
nvt_tip3p_flex_dt1p0_NH_tau0p5_T300_2000ps	299.996	0.072	-147.927	14	-	-	-	-	-38.5425	0.016
nvt_tip3p_flex_dt1p0_VR_tau0p5_T300_2000ps	300.05	0.2	-123.021	22	-	-	-	-	-38.5154	0.035
nvt_tip3p_flex_dt1p5_NH_tau0p5_T300_2000ps	300.041	0.056	-204.699	23	-	-	-	-	-37.6966	0.012
nvt_tip3p_flex_dt1p5_VR_tau0p5_T300_2000ps	300.138	0.24	-197.305	28	-	-	-	-	-37.6808	0.022
nvt_tip3p_flex_dt2p0_NH_tau0p5_T300_2000ps	300.015	0.051	-351.016	16	-	-	-	-	-36.1944	0.0087
nvt_tip3p_flex_dt2p0_VR_tau0p5_T300_2000ps	300.13	0.25	-374.139	23	-	-	-	-	-36.1964	0.02
nvt_tip3p_rigid_shake_dt0p5_NH_tau1p0_T300_2000ps	299.887	0.12	381.42	3.4	-	-	-	-	-40.1871	0.01
nvt_tip3p_rigid_shake_dt0p5_VR_tau1p0_T300_2000ps	300.261	0.5	394.957	12	-	-	-	-	-40.173	0.027
nvt_tip3p_rigid_shake_dt1p0_NH_tau1p0_T300_2000ps	300.027	0.095	392.551	7.7	-	-	-	-	-40.1678	0.0027
nvt_tip3p_rigid_shake_dt1p0_VR_tau1p0_T300_2000ps	300.268	0.39	406.942	16	-	-	-	-	-40.1496	0.02
nvt_tip3p_rigid_shake_dt2p0_NH_tau1p0_T300_2000ps	299.959	0.09	386.248	8.6	-	-	-	-	-40.107	0.004
nvt_tip3p_rigid_shake_dt2p0_VR_tau1p0_T300_2000ps	300.548	0.3	393.499	11	-	-	-	-	-40.0882	0.016
nvt_tip3p_rigid_shake_dt4p0_NH_tau1p0_T300_2000ps	299.997	0.1	407.655	7.3	-	-	-	-	-39.8746	0.0058
nvt_tip3p_rigid_shake_dt4p0_VR_tau1p0_T300_2000ps	300.096	0.39	410.584	8.6	-	-	-	-	-39.868	0.018
nvt_tip3p_rigid_shake_dt6p0_NH_tau1p0_T300_2000ps	299.946	0.081	446.147	6.7	-	-	-	-	-39.4662	0.0074
nvt_tip3p_rigid_shake_dt6p0_VR_tau1p0_T300_2000ps	299.605	0.63	437.765	9.9	-	-	-	-	-39.4911	0.03
